Book Name,Author,Rating,Customers_Rated,Price
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.4 out of 5 stars,"7,352",₹260.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"21,846",₹101.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"3,743",₹99.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"3,214",₹154.00
How to Prepare for QUANTITATIVE APTITUDE for CAT | 9th Edition,Arun Sharma,4.5 out of 5 stars,83,₹740.00
"INDIAN ECONOMY For Civil Services, Universities and Other Examinations | 13th Edition",RAMESH SINGH,4.5 out of 5 stars,140,₹416.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"35,767",₹149.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,770",₹376.00
The Diary of a Young Girl,Anne Frank,4.6 out of 5 stars,"3,355",₹99.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"6,722",₹137.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"8,497",₹177.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.5 out of 5 stars,"13,587",₹232.00
General Knowledge 2022,Manohar Pandey,4.2 out of 5 stars,273,₹35.00
The Lover Boy of Bahawalpur : How the Pulwama Case was Cracked,Rahul Pandita,4.2 out of 5 stars,103,₹390.00
India & World Map ( Both Political & Physical ) with Constitution of India Chart & History of India Chart | NON…,Vidya Chitr Prakashan,4.5 out of 5 stars,653,₹160.00
My First Little Librarian: Boxset of 12 Best Board Books for Kids,THE BOOK TREE,4.5 out of 5 stars,648,₹385.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"2,491",₹432.00
CBSE All In One Science Class 10 for for 2022 Exam,Sanubia & Rashmi Gupta Sonal Singh,4.2 out of 5 stars,166,₹345.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"50,703",₹325.00
CBSE All In One Social Science Class 10 for 2022 Exam,Farah Sultan Madhumitta Pattrea,4.3 out of 5 stars,253,₹334.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"4,028",₹144.00
CBSE All In One English Core Class 12 for 2022 Exam,Nandini Sharma Srishti Agarwal,4.3 out of 5 stars,73,₹335.00
All set to Read-A Phonic Reader-Level 1- PHONICS READERS- 6 books in a Box: Box set,Om Books Editorial Team,4.6 out of 5 stars,660,₹500.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"9,990",₹138.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.3 out of 5 stars,"4,029",₹159.00
Hindi Sulekh - Varanmala - Handwriting Practice Workbook for Kids 3-6 Years Old,Maple Press,4.5 out of 5 stars,671,₹86.00
Think & Grow Rich (Hindi),Napoleon Hill,4.4 out of 5 stars,"3,261",₹106.00
Numbers 1 - 10: Write and Practice Numbers 1 to 10 (Writing Fun),Wonder House Books,4.3 out of 5 stars,709,₹42.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"51,860",₹129.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"4,961",₹110.00
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.6 out of 5 stars,"3,157",₹183.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"3,990",₹193.00
BlackBook of General Awareness April 2021 by Nikhil Gupta,Nikhil K Gupta,4.6 out of 5 stars,102,₹345.00
My Activity- Phonics Activity Book,Dreamland Publications,4.4 out of 5 stars,"1,568",₹76.00
